filename,Ca,K,Mn,N,P,S,Zn
Healthy_0c002246-262c-46d7-9995-bd1e1b2737d9___JR_HL-7969_newPixel25_JPG.rf.0bb564b55fd56bf92e0a68004a6e4662.jpg,0,0,0,0,0,0,0
Healthy_6f8e8792-687d-48b3-8ca7-40a8edf94e67___JR_HL-8024_JPG.rf.8dafbe7586a3bffeed7aa5317e27fcc2.jpg,0,0,0,0,0,0,0
K_Mn_bcbca73b-22a6-40e4-ba78-8bfe313665ff___JR_B-Spot-8894_flipTB_JPG.rf.1fc79af035f419e3c49f2dccebd8ebb7.jpg,0,1,1,0,0,0,0
Healthy_5bb2ecb4-acf6-464c-a62e-c76a110fe22c___JR_HL-8890_newPixel25_JPG.rf.14f65838edbd6def93c068db228d3074.jpg,0,0,0,0,0,0,0
Healthy_34e28d62-4a58-4090-8454-e060a48c195c___JR_HL-8082_JPG.rf.48ea55dae456325c1e935c43cdd84b7a.jpg,0,0,0,0,0,0,0
Healthy_aa4f86b1-6314-47c2-9e62-39c52a2967ba___JR_HL-5819_JPG.rf.68f4dec3d33062bc09971191eb56a673.jpg,0,0,0,0,0,0,0
Mn_P_e2e60809-4508-47a7-9357-6f410aec402a___NREC_B-Spot-1911_180deg_JPG.rf.4417225fed9aa1bdf16e195c3c69667a.jpg,0,0,1,0,1,0,0
K_Mn_197fdd19-46d1-46f7-8e79-aa9545f76ff0___JR_B-Spot-9000_180deg_JPG.rf.36cef620a289d0cc7b171ef481ff6d9a.jpg,0,1,1,0,0,0,0
Mn_P_fa6dc54a-e15d-4efa-99a3-2ff41ca98a2d___JR_B-Spot-9009_flipTB_JPG.rf.253a7221f842e0a2e6430445ab64747b.jpg,0,0,1,0,1,0,0
Healthy_110e0412-89b7-4ecc-8650-24f34bae2849___JR_HL-8305_JPG.rf.41cf5c101b7e5a9683533985ba03509c.jpg,0,0,0,0,0,0,0
K_Mn_P_77d6d18a-0f6c-4417-80c6-42c0c9e7a83d___NREC_B-Spot-9147_flipTB_JPG.rf.6929d9e7eea220fbe5ef945d7e54d0db.jpg,0,1,1,0,1,0,0
Mn_P_82b9fdcc-3000-46fe-b955-063e77dd5968___JR_B-Spot-3324_flipTB_JPG.rf.5fffee2c488a9fa0dd5e33d5f9b24cfb.jpg,0,0,1,0,1,0,0
Mn_P_78dbe7fe-0821-4c19-922f-0e330f0cd3bd___JR_B-Spot-8856_flipTB_JPG.rf.d5186480112e12afc8ff61393167cfc0.jpg,0,0,1,0,1,0,0
Healthy_3acd00fb-4abe-4762-8a73-07c909a5883d___JR_HL-7736_newPixel25_JPG.rf.1a233382a909dc59689046f677facfea.jpg,0,0,0,0,0,0,0
Healthy_cbf84b0f-8d48-4c97-ad91-fdda41af905f___JR_HL-8033_JPG.rf.81e1c24223955c3bbc63fd24f2297d50.jpg,0,0,0,0,0,0,0
Mn_P_15b7cf0f-46ea-4390-a902-375b5b68e3fd___JR_B-Spot-3320_JPG.rf.23c994c22252732aedcf70ae2c7222f5.jpg,0,0,1,0,1,0,0
Mn_2fd2f664-70aa-40d6-b770-bb839944ce18___JR_B-Spot-3261_JPG.rf.af09deaed7027d555457b7b533c4156a.jpg,0,0,1,0,0,0,0
Healthy_5e455ad8-5451-4468-b6e7-f1fc3b189a4b___JR_HL-5881_newPixel25_JPG.rf.2fd5a3cc79233d55086b214cc2a813ce.jpg,0,0,0,0,0,0,0
P_45820fd3-e954-4baf-85cb-23175212dc0d___JR_B-Spot-8844_JPG.rf.668b29a9e25ee375253996f7210e22f9.jpg,0,0,0,0,1,0,0
Healthy_29596d82-86a8-4747-b019-b7bfa6e75ba0___JR_HL-8569_JPG.rf.b50ac7f3ce31cc9f5db7a25fd4bf7c7e.jpg,0,0,0,0,0,0,0
Healthy_55ece8d9-c71c-47ec-99f0-11fc9e726485___JR_HL-7768_JPG.rf.ab62dd5c3c52589464add58399b898a3.jpg,0,0,0,0,0,0,0
Healthy_ebabe289-fbfb-47a1-a8a6-e3ea7fc409d7___JR_HL-8189_JPG.rf.3cfcba4fe00a7fad0cdf7f9c619d9e07.jpg,0,0,0,0,0,0,0
Mn_P_b2df85c5-719c-4a97-aad5-51b3636edb91___NREC_B-Spot-9150_180deg_JPG.rf.b0f67618b251d9cc325ffa60f9383efb.jpg,0,0,1,0,1,0,0
Healthy_31dce414-c0de-4355-b10e-953ac45623f0___JR_HL-8034_JPG.rf.7972c69e556f24c61aa18d6fb937172c.jpg,0,0,0,0,0,0,0
Ca_Mn_db2c9432-9f29-4867-a07f-b6e78aa946a4___JR_B-Spot-3138_flipTB_JPG.rf.67179df152accfff2e95a9a87f6c832e.jpg,1,0,1,0,0,0,0
Healthy_fcfdcab4-7a88-4974-b7db-b7facb320b56___JR_HL-7974_JPG.rf.282cf1a3304174af4832db8bc48c6029.jpg,0,0,0,0,0,0,0
K_Mn_P_bba6a3b8-273f-4cfa-a41c-9fc0698dbe9f___JR_B-Spot-9021_JPG.rf.290aacaed3e22facfc7adc7c38390eae.jpg,0,1,1,0,1,0,0
Healthy_06ae69f3-53f7-4ad8-b6b0-185dd26b2fc0___JR_HL-7971_newPixel25_JPG.rf.98ed0b0b8ad2f4f0a785a9c5789408e9.jpg,0,0,0,0,0,0,0
Healthy_0c102dad-d31f-469b-89d1-6fe7bf93708c___JR_HL-7689_flipTB_JPG.rf.1f32e518ed4ee99392313c5a95648a5a.jpg,0,0,0,0,0,0,0
K_Mn_P_948bc0e0-8552-426a-898f-270b9573c28f___NREC_B-Spot-9062_flipTB_JPG.rf.23906df8e9388eb766b0ad25a47eab35.jpg,0,1,1,0,1,0,0
Healthy_dfe76f2d-7086-4c4c-9f6c-a6af6b666dee___JR_HL-7714_JPG.rf.44c4dacf8c363674f4a47b7a03163dfb.jpg,0,0,0,0,0,0,0
K_Mn_975b25df-a4d7-4aca-b1b9-312487544eaa___JR_B-Spot-8830_flipTB_JPG.rf.ed7526ceb7e0c319770aac28853ea369.jpg,0,1,1,0,0,0,0
K_Mn_47fbd17d-c078-4465-8816-c675abd9c850___JR_B-Spot-3185_180deg_JPG.rf.ee498cf381e6a0fda20bda89c7c89027.jpg,0,1,1,0,0,0,0
Healthy_0c102dad-d31f-469b-89d1-6fe7bf93708c___JR_HL-7689_flipTB_JPG.rf.8ad4dbc664f04b4c416eaad2a8d85348.jpg,0,0,0,0,0,0,0
